"text","label"
"I admire your dedication today","Admiration"
"I admire your dedication this week","Admiration"
"I admire your dedication at college","Admiration"
"I admire your dedication during the project","Admiration"
"I admire your dedication in this situation","Admiration"
"I admire your dedication right now","Admiration"
"I admire your dedication with my team","Admiration"
"I admire your dedication in class","Admiration"
"I admire your dedication after the meeting","Admiration"
"I admire your dedication this morning","Admiration"
"I admire your dedication tonight","Admiration"
"I admire your dedication in the lab","Admiration"
"I admire your dedication during practice","Admiration"
"I admire your dedication with friends","Admiration"
"I admire your dedication at home","Admiration"
"I respect your discipline today","Admiration"
"I respect your discipline this week","Admiration"
"I respect your discipline at college","Admiration"
"I respect your discipline during the project","Admiration"
"I respect your discipline in this situation","Admiration"
"I respect your discipline right now","Admiration"
"I respect your discipline with my team","Admiration"
"I respect your discipline in class","Admiration"
"I respect your discipline after the meeting","Admiration"
"I respect your discipline this morning","Admiration"
"I respect your discipline tonight","Admiration"
"I respect your discipline in the lab","Admiration"
"I respect your discipline during practice","Admiration"
"I respect your discipline with friends","Admiration"
"I respect your discipline at home","Admiration"
"Your effort inspires me today","Admiration"
"Your effort inspires me this week","Admiration"
"Your effort inspires me at college","Admiration"
"Your effort inspires me during the project","Admiration"
"Your effort inspires me in this situation","Admiration"
"Your effort inspires me right now","Admiration"
"Your effort inspires me with my team","Admiration"
"Your effort inspires me in class","Admiration"
"Your effort inspires me after the meeting","Admiration"
"Your effort inspires me this morning","Admiration"
"Your effort inspires me tonight","Admiration"
"Your effort inspires me in the lab","Admiration"
"Your effort inspires me during practice","Admiration"
"Your effort inspires me with friends","Admiration"
"Your effort inspires me at home","Admiration"
"That skill is impressive today","Admiration"
"That skill is impressive this week","Admiration"
"That skill is impressive at college","Admiration"
"That skill is impressive during the project","Admiration"
"That skill is impressive in this situation","Admiration"
"That skill is impressive right now","Admiration"
"That skill is impressive with my team","Admiration"
"That skill is impressive in class","Admiration"
"That skill is impressive after the meeting","Admiration"
"That skill is impressive this morning","Admiration"
"That skill is impressive tonight","Admiration"
"That skill is impressive in the lab","Admiration"
"That skill is impressive during practice","Admiration"
"That skill is impressive with friends","Admiration"
"That skill is impressive at home","Admiration"
"That joke is hilarious today","Amusement"
"That joke is hilarious this week","Amusement"
"That joke is hilarious at college","Amusement"
"That joke is hilarious during the project","Amusement"
"That joke is hilarious in this situation","Amusement"
"That joke is hilarious right now","Amusement"
"That joke is hilarious with my team","Amusement"
"That joke is hilarious in class","Amusement"
"That joke is hilarious after the meeting","Amusement"
"That joke is hilarious this morning","Amusement"
"That joke is hilarious tonight","Amusement"
"That joke is hilarious in the lab","Amusement"
"That joke is hilarious during practice","Amusement"
"That joke is hilarious with friends","Amusement"
"That joke is hilarious at home","Amusement"
"This moment is funny today","Amusement"
"This moment is funny this week","Amusement"
"This moment is funny at college","Amusement"
"This moment is funny during the project","Amusement"
"This moment is funny in this situation","Amusement"
"This moment is funny right now","Amusement"
"This moment is funny with my team","Amusement"
"This moment is funny in class","Amusement"
"This moment is funny after the meeting","Amusement"
"This moment is funny this morning","Amusement"
"This moment is funny tonight","Amusement"
"This moment is funny in the lab","Amusement"
"This moment is funny during practice","Amusement"
"This moment is funny with friends","Amusement"
"This moment is funny at home","Amusement"
"I cannot stop laughing today","Amusement"
"I cannot stop laughing this week","Amusement"
"I cannot stop laughing at college","Amusement"
"I cannot stop laughing during the project","Amusement"
"I cannot stop laughing in this situation","Amusement"
"I cannot stop laughing right now","Amusement"
"I cannot stop laughing with my team","Amusement"
"I cannot stop laughing in class","Amusement"
"I cannot stop laughing after the meeting","Amusement"
"I cannot stop laughing this morning","Amusement"
"I cannot stop laughing tonight","Amusement"
"I cannot stop laughing in the lab","Amusement"
"I cannot stop laughing during practice","Amusement"
"I cannot stop laughing with friends","Amusement"
"I cannot stop laughing at home","Amusement"
"That meme is amusing today","Amusement"
"That meme is amusing this week","Amusement"
"That meme is amusing at college","Amusement"
"That meme is amusing during the project","Amusement"
"That meme is amusing in this situation","Amusement"
"That meme is amusing right now","Amusement"
"That meme is amusing with my team","Amusement"
"That meme is amusing in class","Amusement"
"That meme is amusing after the meeting","Amusement"
"That meme is amusing this morning","Amusement"
"That meme is amusing tonight","Amusement"
"That meme is amusing in the lab","Amusement"
"That meme is amusing during practice","Amusement"
"That meme is amusing with friends","Amusement"
"That meme is amusing at home","Amusement"
"I am very angry today","Anger"
"I am very angry this week","Anger"
"I am very angry at college","Anger"
"I am very angry during the project","Anger"
"I am very angry in this situation","Anger"
"I am very angry right now","Anger"
"I am very angry with my team","Anger"
"I am very angry in class","Anger"
"I am very angry after the meeting","Anger"
"I am very angry this morning","Anger"
"I am very angry tonight","Anger"
"I am very angry in the lab","Anger"
"I am very angry during practice","Anger"
"I am very angry with friends","Anger"
"I am very angry at home","Anger"
"This makes me furious today","Anger"
"This makes me furious this week","Anger"
"This makes me furious at college","Anger"
"This makes me furious during the project","Anger"
"This makes me furious in this situation","Anger"
"This makes me furious right now","Anger"
"This makes me furious with my team","Anger"
"This makes me furious in class","Anger"
"This makes me furious after the meeting","Anger"
"This makes me furious this morning","Anger"
"This makes me furious tonight","Anger"
"This makes me furious in the lab","Anger"
"This makes me furious during practice","Anger"
"This makes me furious with friends","Anger"
"This makes me furious at home","Anger"
"I feel intense rage today","Anger"
"I feel intense rage this week","Anger"
"I feel intense rage at college","Anger"
"I feel intense rage during the project","Anger"
"I feel intense rage in this situation","Anger"
"I feel intense rage right now","Anger"
"I feel intense rage with my team","Anger"
"I feel intense rage in class","Anger"
"I feel intense rage after the meeting","Anger"
"I feel intense rage this morning","Anger"
"I feel intense rage tonight","Anger"
"I feel intense rage in the lab","Anger"
"I feel intense rage during practice","Anger"
"I feel intense rage with friends","Anger"
"I feel intense rage at home","Anger"
"I hate this outcome today","Anger"
"I hate this outcome this week","Anger"
"I hate this outcome at college","Anger"
"I hate this outcome during the project","Anger"
"I hate this outcome in this situation","Anger"
"I hate this outcome right now","Anger"
"I hate this outcome with my team","Anger"
"I hate this outcome in class","Anger"
"I hate this outcome after the meeting","Anger"
"I hate this outcome this morning","Anger"
"I hate this outcome tonight","Anger"
"I hate this outcome in the lab","Anger"
"I hate this outcome during practice","Anger"
"I hate this outcome with friends","Anger"
"I hate this outcome at home","Anger"
"This is irritating me today","Annoyance"
