"text","label"
"I admire your consistency and discipline because you keep showing up even when the work is repetitive and difficult today. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"I admire your consistency and discipline because you keep showing up even when the work is repetitive and difficult this week. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"I admire your consistency and discipline because you keep showing up even when the work is repetitive and difficult during the project cycle. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"I admire your consistency and discipline because you keep showing up even when the work is repetitive and difficult at college. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"I admire your consistency and discipline because you keep showing up even when the work is repetitive and difficult at work. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"I admire your consistency and discipline because you keep showing up even when the work is repetitive and difficult with my team. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"I admire your consistency and discipline because you keep showing up even when the work is repetitive and difficult at home. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"I admire your consistency and discipline because you keep showing up even when the work is repetitive and difficult after the meeting. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"I admire your consistency and discipline because you keep showing up even when the work is repetitive and difficult during the evening. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"I admire your consistency and discipline because you keep showing up even when the work is repetitive and difficult this morning. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"Your focus and work ethic inspire me since you plan carefully, execute calmly, and still support everyone around you today. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"Your focus and work ethic inspire me since you plan carefully, execute calmly, and still support everyone around you this week. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"Your focus and work ethic inspire me since you plan carefully, execute calmly, and still support everyone around you during the project cycle. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"Your focus and work ethic inspire me since you plan carefully, execute calmly, and still support everyone around you at college. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"Your focus and work ethic inspire me since you plan carefully, execute calmly, and still support everyone around you at work. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"Your focus and work ethic inspire me since you plan carefully, execute calmly, and still support everyone around you with my team. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"Your focus and work ethic inspire me since you plan carefully, execute calmly, and still support everyone around you at home. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"Your focus and work ethic inspire me since you plan carefully, execute calmly, and still support everyone around you after the meeting. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"Your focus and work ethic inspire me since you plan carefully, execute calmly, and still support everyone around you during the evening. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"Your focus and work ethic inspire me since you plan carefully, execute calmly, and still support everyone around you this morning. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Admiration"
"That story was hilarious and I kept laughing because every detail became more absurd than the last one today. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"That story was hilarious and I kept laughing because every detail became more absurd than the last one this week. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"That story was hilarious and I kept laughing because every detail became more absurd than the last one during the project cycle. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"That story was hilarious and I kept laughing because every detail became more absurd than the last one at college. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"That story was hilarious and I kept laughing because every detail became more absurd than the last one at work. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"That story was hilarious and I kept laughing because every detail became more absurd than the last one with my team. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"That story was hilarious and I kept laughing because every detail became more absurd than the last one at home. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"That story was hilarious and I kept laughing because every detail became more absurd than the last one after the meeting. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"That story was hilarious and I kept laughing because every detail became more absurd than the last one during the evening. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"That story was hilarious and I kept laughing because every detail became more absurd than the last one this morning. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"The way that scene unfolded was so funny that I laughed repeatedly and could not keep a straight face today. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"The way that scene unfolded was so funny that I laughed repeatedly and could not keep a straight face this week. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"The way that scene unfolded was so funny that I laughed repeatedly and could not keep a straight face during the project cycle. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"The way that scene unfolded was so funny that I laughed repeatedly and could not keep a straight face at college. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"The way that scene unfolded was so funny that I laughed repeatedly and could not keep a straight face at work. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"The way that scene unfolded was so funny that I laughed repeatedly and could not keep a straight face with my team. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"The way that scene unfolded was so funny that I laughed repeatedly and could not keep a straight face at home. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"The way that scene unfolded was so funny that I laughed repeatedly and could not keep a straight face after the meeting. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"The way that scene unfolded was so funny that I laughed repeatedly and could not keep a straight face during the evening. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"The way that scene unfolded was so funny that I laughed repeatedly and could not keep a straight face this morning. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Amusement"
"I am extremely angry because the same mistake happened again after multiple warnings and it wasted everyone s time today. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"I am extremely angry because the same mistake happened again after multiple warnings and it wasted everyone s time this week. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"I am extremely angry because the same mistake happened again after multiple warnings and it wasted everyone s time during the project cycle. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"I am extremely angry because the same mistake happened again after multiple warnings and it wasted everyone s time at college. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"I am extremely angry because the same mistake happened again after multiple warnings and it wasted everyone s time at work. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"I am extremely angry because the same mistake happened again after multiple warnings and it wasted everyone s time with my team. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"I am extremely angry because the same mistake happened again after multiple warnings and it wasted everyone s time at home. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"I am extremely angry because the same mistake happened again after multiple warnings and it wasted everyone s time after the meeting. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"I am extremely angry because the same mistake happened again after multiple warnings and it wasted everyone s time during the evening. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"I am extremely angry because the same mistake happened again after multiple warnings and it wasted everyone s time this morning. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"This situation makes me furious since promises were broken repeatedly and no one is taking accountability today. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"This situation makes me furious since promises were broken repeatedly and no one is taking accountability this week. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"This situation makes me furious since promises were broken repeatedly and no one is taking accountability during the project cycle. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"This situation makes me furious since promises were broken repeatedly and no one is taking accountability at college. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"This situation makes me furious since promises were broken repeatedly and no one is taking accountability at work. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"This situation makes me furious since promises were broken repeatedly and no one is taking accountability with my team. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"This situation makes me furious since promises were broken repeatedly and no one is taking accountability at home. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"This situation makes me furious since promises were broken repeatedly and no one is taking accountability after the meeting. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"This situation makes me furious since promises were broken repeatedly and no one is taking accountability during the evening. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"This situation makes me furious since promises were broken repeatedly and no one is taking accountability this morning. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Anger"
"I feel annoyed because the constant interruptions make it hard to focus and finish even simple tasks today. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"I feel annoyed because the constant interruptions make it hard to focus and finish even simple tasks this week. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"I feel annoyed because the constant interruptions make it hard to focus and finish even simple tasks during the project cycle. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"I feel annoyed because the constant interruptions make it hard to focus and finish even simple tasks at college. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"I feel annoyed because the constant interruptions make it hard to focus and finish even simple tasks at work. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"I feel annoyed because the constant interruptions make it hard to focus and finish even simple tasks with my team. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"I feel annoyed because the constant interruptions make it hard to focus and finish even simple tasks at home. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"I feel annoyed because the constant interruptions make it hard to focus and finish even simple tasks after the meeting. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"I feel annoyed because the constant interruptions make it hard to focus and finish even simple tasks during the evening. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"I feel annoyed because the constant interruptions make it hard to focus and finish even simple tasks this morning. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"The repeated noise and unnecessary comments are irritating me and slowly draining my patience today. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
"The repeated noise and unnecessary comments are irritating me and slowly draining my patience this week. I kept reflecting on this for a long time, comparing options, revisiting details, and trying to understand the bigger picture before making the next decision.","Annoyance"
